rms,mav,wl,zcr,mdf,label
275.94325503624833,273.16,41161.0,101,52.0,0
279.7259730521998,277.29,38579.0,100,52.0,0
281.3229105494254,279.21,37850.0,102,51.0,0
282.17196884169766,280.31,35485.0,103,51.0,0
280.94878536843686,278.87,33705.0,100,51.0,0
276.3452550705367,273.63,31441.0,99,50.0,0
267.8969951305912,264.38,31525.0,97,49.0,0
257.87469825479195,254.12,29841.0,95,47.0,0
248.2810101477759,244.65,28582.0,93,48.0,0
236.833781374195,234.48,26329.0,94,49.0,0
224.86164635170667,223.82,26270.0,95,52.0,0
216.83030231035514,216.33,27493.0,94,52.0,0
212.11232873173591,211.72,29327.0,94,49.0,0
209.00535878297475,208.66,28358.0,93,48.0,0
205.90400676043194,205.69,27350.0,95,49.0,0
203.12375538080227,202.93,26718.0,92,51.0,0
202.42578887088473,202.22,25493.0,94,51.0,0
201.72615100675472,201.52,25616.0,95,51.0,0
199.83913530637585,199.62,24886.0,96,50.0,0
194.98846119706673,194.77,24394.0,95,47.0,0
192.0617088333851,191.79,26070.0,95,46.0,0
193.03740570158936,192.7,26876.0,92,47.0,0
196.58646952422743,195.96,27387.0,93,48.0,0
202.72173045828117,201.39,28688.0,93,48.0,0
208.8849444072023,206.92,29576.0,92,48.0,0
216.4628836544501,214.03,29330.0,94,48.0,0
224.13835013223417,221.32,31368.0,94,49.0,0
231.61873844747535,228.58,33063.0,93,49.0,0
238.4807749064901,235.72,34015.0,93,49.0,0
244.52406834501997,242.71,35035.0,93,48.0,0
249.16929987460333,248.35,32387.0,95,47.0,0
250.7681399221201,250.21,31835.0,100,47.0,0
250.66615248174213,250.1,29524.0,99,47.0,0
246.44804726351555,245.52,27331.0,97,48.0,0
239.05258835662082,237.17,26592.0,99,49.0,0
230.6873208479391,228.12,27079.0,99,47.0,0
221.52494216227663,218.77,25301.0,96,46.0,0
212.26045321726795,209.91,23423.0,98,48.0,0
203.45756314278415,201.59,23239.0,100,48.0,0
196.47035399774694,194.96,21643.0,96,49.0,0
191.39033413419813,190.23,22036.0,90,49.0,0
