rms,mav,wl,zcr,mdf,label
244.42970359594187,243.54,29179.0,94,46.0,1
239.19326913606912,238.39,28000.0,92,47.0,1
235.85694816985995,235.27,28467.0,89,48.0,1
231.12368982862836,230.64,29104.0,90,48.0,1
224.42927616512065,224.01,27382.0,90,48.0,1
219.71358628905952,219.19,30556.0,92,47.0,1
218.63430654862927,218.08,27819.0,88,47.0,1
217.03769257896195,216.44,25847.0,90,47.0,1
214.32363378778365,213.71,24797.0,88,50.0,1
210.23667615332963,209.57,24463.0,87,51.0,1
205.24414729779753,204.58,24062.0,90,50.0,1
200.94660982459993,200.17,23863.0,93,46.0,1
193.08241763557862,192.41,23477.0,95,43.0,1
187.58773947142708,186.84,23640.0,97,44.0,1
183.8131660137543,182.88,24153.0,99,46.0,1
179.8715096951154,178.74,20407.0,95,49.0,1
174.86909389597693,173.82,22254.0,97,50.0,1
173.6054146621009,172.66,25893.0,99,50.0,1
175.13303514757004,173.95,26941.0,100,51.0,1
178.85234133217267,177.16,27154.0,101,51.0,1
182.15702017764784,180.17,27172.0,102,51.0,1
186.64393909259417,184.38,26749.0,100,51.0,1
193.08241763557862,190.73,26852.0,102,51.0,1
196.75837974531098,194.67,26092.0,101,50.0,1
197.15166750499475,195.17,26139.0,100,50.0,1
197.0651668864896,195.04,27416.0,101,50.0,1
197.0808463549921,195.07,24957.0,103,50.0,1
193.0925166856551,190.52,22078.0,102,49.0,1
187.55948389777575,184.86,21952.0,102,49.0,1
